Suburb,City,Price,SQFT,Price_per_sqft,Bedrooms,Bathrooms,Zip Code,House Type,Built,Remodeled,Country,Condition
Downtown Dubai,Dubai,"$2,600,000.00 ",1360,"$1,911.76 ",2,3,25314,Apartment,2023,0,U.A.E,5
Dubai Marina,Dubai,"$2,000,000.00 ",1477,"$1,354.10 ",2,3,25315,Apartment,2005,0,U.A.E,4
Downtown Dubai,Dubai,"$1,800,000.00 ",1622,"$1,109.74 ",2,3,25314,Apartment,2008,0,U.A.E,5
Downtown Dubai,Dubai,"$930,000.00 ",774,"$1,201.55 ",1,2,25315,Apartment,2022,0,U.A.E,4
Palm Jumeirah,Dubai,"$3,200,000.00 ",1572,"$2,035.62 ",2,3,25314,Apartment,2014,0,U.A.E,4
Jumeirah Village Circle,Dubai,"$714,000.00 ",732,$975.41 ,1,1,25314,Apartment,2012,0,U.A.E,4
Dubai Marina,Dubai,"$1,075,000.00 ",1300,$826.92 ,3,3,25314,Apartment,2013,0,U.A.E,5
Downtown Dubai,Dubai,"$2,299,900.00 ",1133,"$2,029.92 ",1,2,25314,Apartment,2008,0,U.A.E,5
Dubai Marina,Dubai,"$1,200,000.00 ",1180,"$1,016.95 ",2,2,25314,Apartment,2007,0,U.A.E,5
Dubai Marina,Dubai,"$1,525,000.00 ",1440,"$1,059.03 ",2,3,25314,Apartment,2019,0,U.A.E,5
City Walk,Dubai,"$2,700,000.00 ",1685,"$1,602.37 ",2,2,25314,Apartment,2010,0,U.A.E,5
Jumeirah Beach Residence,Dubai,"$815,000.00 ",779,"$1,046.21 ",1,1,25315,Apartment,2007,0,U.A.E,5
Jumeirah Lake Towers,Dubai,"$860,000.00 ",971,$885.68 ,1,2,25315,Apartment,2016,0,U.A.E,4
Barsha Heights (Tecom),Dubai,"$1,200,000.00 ",1450,$827.59 ,2,1,25315,Apartment,2018,0,U.A.E,4
Jumeirah Beach Residence,Dubai,"$1,300,000.00 ",763,"$1,703.80 ",1,1,25314,Apartment,2023,0,U.A.E,4
Downtown Dubai,Dubai,"$2,100,000.00 ",1135,"$1,850.22 ",1,1,25314,Apartment,2010,0,U.A.E,4
Downtown Dubai,Dubai,"$2,100,000.00 ",1974,"$1,063.83 ",3,5,25315,Apartment,2019,0,U.A.E,5
Palm Jumeirah,Dubai,"$2,100,000.00 ",1051,"$1,998.10 ",1,1,25314,Apartment,2013,0,U.A.E,5
Downtown Dubai,Dubai,"$2,100,000.00 ",826,"$2,542.37 ",1,2,25315,Apartment,2021,0,U.A.E,5
Palm Jumeirah,Dubai,"$3,499,000.00 ",1633,"$2,142.68 ",2,2,25315,Apartment,2021,0,U.A.E,5
Dubai Marina,Dubai,"$5,500,000.00 ",2609,"$2,108.09 ",4,5,25315,Apartment,2018,0,U.A.E,4
Dubai Marina,Dubai,"$2,100,000.00 ",1579,"$1,329.96 ",2,3,25315,Apartment,2014,0,U.A.E,4
DIFC,Dubai,"$1,845,000.00 ",1526,"$1,209.04 ",2,2,25314,Apartment,2013,0,U.A.E,5
Al Barari,Dubai,"$1,800,000.00 ",1964,$916.50 ,1,2,25315,Apartment,2016,0,U.A.E,5
Dubai Production City (IMPZ),Dubai,"$600,000.00 ",1256,$477.71 ,2,3,25314,Apartment,2012,0,U.A.E,5
Downtown Dubai,Dubai,"$1,155,000.00 ",753,"$1,533.86 ",1,2,25314,Apartment,2018,0,U.A.E,4
The Hills,Dubai,"$2,095,000.00 ",1436,"$1,458.91 ",2,3,25315,Apartment,2008,0,U.A.E,5
Downtown Dubai,Dubai,"$1,900,000.00 ",1438,"$1,321.28 ",2,3,25315,Apartment,2007,0,U.A.E,5
Palm Jumeirah,Dubai,"$1,800,000.00 ",1490,"$1,208.05 ",1,2,25314,Apartment,2007,0,U.A.E,4
Palm Jumeirah,Dubai,"$1,800,000.00 ",1490,"$1,208.05 ",1,2,25315,Apartment,2007,0,U.A.E,5
Jumeirah Village Circle,Dubai,"$890,000.00 ",1400,$635.71 ,1,2,25314,Apartment,2009,0,U.A.E,4
Palm Jumeirah,Dubai,"$3,600,000.00 ",1724,"$2,088.17 ",2,3,25314,Apartment,2012,0,U.A.E,4
Dubai Marina,Dubai,"$1,845,000.00 ",1346,"$1,370.73 ",2,2,25314,Apartment,2005,0,U.A.E,5
DIFC,Dubai,"$1,850,000.00 ",1623,"$1,139.86 ",2,3,25315,Apartment,2022,0,U.A.E,5
Palm Jumeirah,Dubai,"$4,995,000.00 ",2990,"$1,670.57 ",3,4,25315,Apartment,2008,0,U.A.E,4
Palm Jumeirah,Dubai,"$3,000,000.00 ",2201,"$1,363.02 ",3,4,25315,Apartment,2011,0,U.A.E,4
Business Bay,Dubai,"$610,000.00 ",458,"$1,331.88 ",0,1,25314,Apartment,2005,0,U.A.E,4
City Walk,Dubai,"$2,850,000.00 ",1734,"$1,643.60 ",2,4,25314,Apartment,2019,0,U.A.E,5
City Walk,Dubai,"$3,315,000.00 ",1950,"$1,700.00 ",2,4,25314,Apartment,2009,0,U.A.E,5
Downtown Dubai,Dubai,"$1,800,000.00 ",1209,"$1,488.83 ",2,3,25314,Apartment,2009,0,U.A.E,5
Downtown Dubai,Dubai,"$2,100,000.00 ",1354,"$1,550.96 ",2,3,25314,Apartment,2007,0,U.A.E,5
Downtown Dubai,Dubai,"$1,400,000.00 ",860,"$1,627.91 ",1,2,25314,Apartment,2009,0,U.A.E,5
Old Town,Dubai,"$2,300,000.00 ",1338,"$1,718.98 ",2,3,25315,Apartment,2014,0,U.A.E,4
Business Bay,Dubai,"$2,300,000.00 ",1442,"$1,595.01 ",2,3,25314,Apartment,2017,0,U.A.E,4
The Views,Dubai,"$1,335,000.00 ",1336,$999.25 ,2,2,25315,Apartment,2022,0,U.A.E,4
